SKU,Inventory Quantity (Northwood),Inventory Quantity (Eastgate Mall),Inventory Quantity (Manukau),Inventory Quantity (Porirua),Inventory Quantity (Manners Street),Inventory Quantity (George Street),Inventory Quantity (Papanui),Inventory Quantity (Shirley),Inventory Quantity (Tower Junction),Inventory Quantity (Hornby),Inventory Quantity (Pakuranga),Inventory Quantity (New Plymouth Central),Inventory Quantity (Upper Hutt Central),Inventory Quantity (Whangaparaoa),Inventory Quantity (Westgate),Inventory Quantity (Pukekohe),Inventory Quantity (Te Awamutu),Inventory Quantity (Pine Hill),Inventory Quantity (Rolleston),Inventory Quantity (Rangiora),Inventory Quantity (Mount Roskill),Inventory Quantity (Whanganui),Inventory Quantity (Mt Wellington),Inventory Quantity (South Dunedin),Inventory Quantity (Lyall Bay),Inventory Quantity (South Island Dark Store),Inventory Quantity (Petone),Inventory Quantity (West City)
"=""2475065""",0,5,1,1,3,3,0,0,0,1,0,2,1,0,0,1,0,1,3,1,3,2,1,0,1,0,0,4
"=""2536293""",1,1,4,4,1,2,2,3,2,1,1,2,1,1,1,0,3,2,2,3,4,1,2,7,2,3,1,3
"=""231835""",21,4,2,1,6,6,5,13,4,9,3,2,2,3,3,5,4,7,7,3,6,4,2,2,4,-1,6,5
"=""2445379""",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"=""483974""",5,6,4,2,2,4,6,5,1,8,5,4,1,3,6,4,1,2,1,2,0,4,6,4,3,5,1,4
"=""231827""",5,9,4,4,3,6,3,3,4,5,6,5,-1,4,3,6,1,3,4,2,2,3,3,3,3,0,3,3
"=""2426684""",0,1,0,0,2,0,0,0,0,0,8,8,1,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0
"=""455377""",2,9,2,2,5,2,2,4,2,1,1,2,5,3,1,3,4,2,6,2,2,1,5,3,4,3,1,3
"=""2482606""",3,8,2,1,4,2,2,5,4,1,4,2,3,4,2,3,1,4,2,5,2,5,5,1,3,9,0,5
"=""952168""",2,2,3,1,5,2,5,6,7,0,2,2,7,5,1,2,3,2,5,0,1,4,1,2,1,0,7,0
"=""2564068""",7,5,1,4,2,10,6,3,4,6,4,2,2,6,4,3,8,2,12,7,1,5,7,0,10,5,3,3
"=""2402505""",5,3,4,6,3,4,0,0,0,2,2,6,4,1,6,5,7,3,6,4,3,0,2,2,6,3,4,1
"=""2251264""",4,8,11,9,7,3,10,0,4,10,13,9,10,3,7,11,4,9,6,2,6,4,11,16,3,13,10,10
"=""2565749""",737,51,82,84,65,45,350,263,116,53,60,47,907,32,506,39,34,351,4,46,13,68,24,48,41,20,15,10
"=""2507153""",0,2,2,4,0,0,2,1,2,2,2,1,7,3,0,2,0,4,2,1,0,2,3,0,0,0,0,2
"=""2507145""",9,8,3,1,6,2,1,10,4,9,2,6,8,5,2,3,1,1,2,2,2,2,2,4,3,1,3,3
"=""2504472""",1,1,1,4,1,0,1,2,3,1,1,7,1,2,1,3,0,1,3,3,3,3,3,2,2,0,4,2
"=""2571447""",4,11,8,7,8,7,4,8,4,7,7,5,9,8,2,7,6,5,9,4,6,4,6,8,7,1,12,7
"=""2431289""",5,3,6,0,6,2,1,1,2,1,3,3,4,2,2,2,3,7,0,3,6,3,2,3,2,0,4,2
"=""2507110""",2,4,4,2,2,1,2,2,5,3,3,2,0,2,2,2,2,0,3,3,8,3,2,3,2,1,3,4
"=""2504510""",5,5,4,2,5,3,1,5,4,5,3,4,4,5,3,3,4,5,7,4,3,7,4,3,2,3,4,6
"=""2431262""",0,2,4,0,1,1,0,1,5,1,1,2,1,3,2,4,5,2,0,3,1,2,3,2,1,0,2,2
"=""2507161""",1,2,2,2,3,1,2,3,5,9,4,2,10,1,2,2,0,2,3,3,2,1,3,1,5,2,5,2
"=""2580411""",6,2,3,2,4,8,-1,9,7,3,6,8,9,4,5,5,5,3,3,1,8,12,11,2,2,9,2,4
"=""2507080""",0,2,3,2,5,1,2,4,4,3,5,1,7,2,3,3,4,0,5,2,2,2,3,1,2,0,3,0
"=""2507099""",3,3,4,2,6,3,3,4,5,1,4,3,9,2,11,2,0,5,2,4,4,3,2,2,1,1,5,3
"=""2431270""",0,1,3,3,6,3,2,1,2,2,5,0,5,2,0,3,3,1,2,2,1,4,3,1,3,7,2,2
"=""2557738""",4,7,6,4,6,2,1,1,4,5,3,2,2,9,3,0,3,5,7,5,4,4,6,3,6,2,2,1
"=""2504413""",6,10,2,2,2,4,5,5,2,4,2,4,4,5,4,4,6,3,4,3,4,5,5,2,3,0,11,5
"=""2507129""",0,3,2,2,5,2,0,1,2,0,4,0,1,0,3,2,0,0,2,2,1,3,3,3,0,2,2,1
"=""2507102""",6,3,3,2,1,1,4,2,8,1,2,1,1,5,4,1,0,4,4,4,3,3,4,6,1,0,3,4
"=""2247496""",3,6,8,3,3,5,2,6,0,3,3,6,3,4,3,9,3,4,3,1,4,7,3,4,5,0,2,3
"=""2507137""",2,4,6,2,3,1,2,5,6,1,1,3,7,3,7,2,1,2,1,3,1,3,3,4,2,0,6,3
"=""35300""",2,2,7,4,12,7,0,0,3,3,0,2,0,3,1,2,0,3,3,0,4,2,0,0,0,-1,3,3
"=""11781""",7,1,3,5,6,5,0,2,0,5,1,3,1,0,5,3,0,3,4,0,2,3,0,0,0,0,7,3
"=""57295""",6,5,0,3,0,3,8,5,2,3,4,1,7,8,2,2,5,5,5,3,2,4,5,1,4,6,1,3
"=""11785""",0,0,0,1,0,1,1,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,6,2
"=""10892""",0,0,0,3,8,3,2,3,0,0,0,3,4,3,1,2,0,2,0,0,4,3,0,0,0,0,4,2
"=""69324""",4,1,2,6,0,2,5,1,2,1,2,4,1,2,1,1,1,2,5,2,1,0,2,1,0,5,2,1
"=""11787""",0,0,2,4,0,3,0,0,0,1,2,4,2,0,0,2,0,2,1,0,3,3,0,0,0,0,12,3
"=""2543818""",7,0,5,5,7,2,3,8,6,6,4,3,3,4,5,5,6,4,10,4,7,6,13,7,2,0,7,4
"=""2573954""",3,3,2,4,3,2,3,4,3,2,7,0,2,4,1,3,2,2,1,1,4,4,3,2,2,-1,1,5
"=""10675""",0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,5,0
"=""2322323""",4,0,0,2,11,3,3,13,2,5,2,1,0,6,0,1,3,2,0,4,1,2,8,-1,2,19,3,2
"=""2513781""",9,8,6,6,5,7,5,4,5,5,5,4,17,10,5,6,6,7,4,5,6,7,7,7,0,14,3,5
"=""2545284""",12,2,1,1,7,3,4,3,0,4,3,1,0,4,1,2,9,3,0,2,12,0,12,3,3,15,3,1
"=""2551993""",3,10,22,5,13,4,0,13,2,3,8,4,4,10,12,12,1,6,3,5,3,12,8,10,6,7,5,11
"=""2576368""",19,18,18,23,25,14,19,18,11,16,8,18,22,6,4,12,12,6,13,16,19,0,19,19,19,0,12,6
"=""2450356""",2,3,0,2,2,5,2,5,4,2,4,4,3,6,1,5,4,4,4,1,3,4,1,4,6,2,4,3
"=""2306506""",8,3,1,5,6,10,0,4,4,1,2,5,2,1,2,3,4,1,6,1,1,6,3,2,1,7,5,3
"=""2513803""",9,6,8,8,6,8,9,5,15,6,8,6,6,6,6,6,6,6,7,9,4,7,7,5,0,5,3,5
"=""2224534""",42,14,2,1,5,10,2,0,10,8,5,9,6,3,7,4,0,3,7,3,2,4,1,5,2,50,12,1
"=""2442957""",2,2,2,3,0,2,3,3,4,3,6,2,2,3,2,3,4,1,1,4,4,1,2,10,2,2,5,5
"=""2568799""",0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,8,0,0,6,0,0,4,0,0,2,-3,0,0
"=""2545292""",13,2,2,2,1,2,1,3,0,7,6,3,5,2,2,1,0,1,0,3,2,2,3,0,0,12,0,2
"=""2224526""",28,13,3,5,3,1,0,4,35,8,3,30,14,2,2,1,0,1,0,1,4,2,3,5,5,12,6,5
"=""2559285""",0,17,3,1,0,0,0,0,0,3,0,2,0,0,4,0,0,0,1,0,2,0,2,7,1,0,0,4
"=""2130106""",0,0,1,0,2,1,1,0,0,3,1,0,-2,10,5,5,-2,1,7,0,1,2,4,2,2,0,1,8
"=""2106752""",4,0,2,1,4,2,1,0,3,6,3,1,3,2,7,6,0,4,5,4,0,5,7,3,2,0,3,8
"=""2224518""",31,16,0,3,2,5,3,16,0,5,5,105,6,3,3,4,0,2,13,3,2,3,0,4,3,9,3,2
"=""2106760""",0,0,2,2,7,1,1,0,4,0,2,6,5,3,1,1,3,1,5,1,-1,0,3,1,4,0,2,2
"=""2514796""",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"=""2522217""",0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"=""2437465""",6,6,4,5,10,5,2,8,4,3,4,3,5,3,2,0,2,3,0,0,0,0,5,0,4,15,1,0
"=""2532018""",4,0,2,5,1,1,3,1,3,1,3,0,2,0,2,4,3,2,3,3,1,2,3,4,4,9,5,2
"=""2340844""",2,3,3,1,2,3,1,8,1,6,4,6,6,4,3,1,0,2,3,3,3,7,2,5,6,28,2,3
"=""2582635""",1,0,4,2,3,2,6,6,4,0,3,6,4,6,3,6,3,2,0,6,1,1,12,6,2,1,3,0
"=""2306425""",0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,4,5,2,0,0,0,0,0,0,0,3
"=""2568810""",6,1,2,1,1,16,1,11,0,0,3,2,2,1,2,3,3,5,7,16,3,13,4,4,2,6,2,2
"=""2568837""",10,6,4,0,2,0,2,6,2,7,3,5,2,6,1,5,2,2,3,2,2,4,2,4,2,3,3,2
"=""1109311""",13,5,2,5,1,5,12,6,8,5,8,10,12,8,9,3,3,3,8,5,11,-1,12,3,9,8,6,7
"=""42658""",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""69443""",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"=""17410""",0,2,1,0,7,3,1,14,1,3,2,3,4,1,0,2,0,2,0,0,3,2,3,1,3,1,7,1
"=""1137723""",1,1,9,4,1,0,0,3,2,1,5,7,0,7,2,3,2,3,1,5,2,7,3,0,1,3,1,3
"=""1146142""",7,12,0,1,0,1,2,2,9,0,1,0,8,1,0,2,0,1,1,0,3,0,1,0,2,4,2,3
"=""1156825""",5,5,1,1,2,2,0,2,7,3,5,2,9,2,4,4,1,2,3,1,2,4,11,1,1,1,0,3
"=""69705""",8,2,5,1,9,6,13,7,4,1,6,4,6,3,13,8,2,3,5,0,2,7,4,5,6,0,5,5
"=""13441""",3,0,1,0,2,2,1,1,1,1,4,3,0,1,2,2,0,2,1,1,2,1,6,2,2,0,3,3
"=""23509""",18,2,2,1,2,2,2,13,4,6,3,9,3,3,4,11,3,6,4,5,5,3,6,3,1,1,12,2
"=""55240""",9,7,6,1,6,6,13,7,8,1,8,7,3,5,3,3,10,0,1,0,2,11,1,0,6,0,2,0
"=""10780""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"=""48187""",8,4,2,3,3,1,2,4,4,4,4,5,1,5,5,1,0,5,3,4,4,5,5,0,0,1,1,3
"=""66512""",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""69437""",13,1,1,2,2,4,1,1,2,4,4,4,0,5,3,4,0,1,1,1,10,1,3,5,1,7,2,3
"=""14780""",2,4,1,3,1,1,2,1,2,3,2,6,2,1,0,1,0,1,1,0,1,2,3,3,3,0,2,1
"=""23018""",0,7,0,6,6,1,0,8,0,8,0,9,14,4,4,1,0,0,0,0,0,5,0,0,17,0,0,0
"=""2473798""",3,6,2,4,3,1,5,5,5,7,1,0,3,6,2,2,0,2,5,5,1,4,1,0,0,0,2,0
"=""2518007""",2,2,0,1,1,0,3,1,1,2,3,3,3,1,3,1,0,1,2,0,3,1,3,2,2,0,1,2
"=""2181347""",3,2,1,2,1,3,1,3,2,1,2,1,0,1,4,3,1,2,2,2,3,3,3,1,2,0,3,3
"=""2572060""",0,2,6,6,3,3,3,1,5,5,7,0,4,0,4,6,0,7,6,1,0,5,1,0,1,0,3,4
"=""2380153""",1,2,2,4,2,2,2,2,2,1,4,2,3,2,2,4,1,3,3,1,2,2,3,2,1,1,3,4
"=""728691""",0,2,2,3,3,1,2,3,2,0,3,2,3,1,2,2,1,0,2,2,1,1,2,1,2,0,0,6
"=""2213524""",1,5,0,3,2,0,0,0,4,0,1,2,0,5,0,0,0,3,3,1,2,5,0,0,0,0,1,7
"=""2227142""",0,0,2,0,8,0,2,0,1,2,2,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,1,3
"=""2536900""",4,2,2,2,2,3,2,2,3,4,4,2,1,2,1,4,1,5,2,2,2,2,4,2,2,0,2,5
"=""2444534""",3,3,0,0,2,4,1,5,2,1,3,0,1,1,2,5,2,1,4,1,1,4,2,2,2,1,4,6
"=""2066750""",2,0,1,2,2,0,1,0,1,1,4,0,-1,0,0,3,0,0,0,0,0,2,2,0,0,0,2,5
"=""2213494""",6,1,4,2,1,1,2,6,3,7,7,0,2,2,5,5,0,4,7,4,2,1,0,0,0,0,4,2
"=""2473917""",3,1,2,2,2,5,3,2,6,2,3,4,2,0,2,3,1,2,6,0,2,4,3,3,2,0,2,5
"=""2380234""",3,1,3,2,1,2,3,2,2,2,3,1,4,2,4,2,0,4,2,0,2,1,2,2,3,0,3,2
"=""2536919""",0,1,2,2,5,3,1,2,2,2,4,1,2,2,4,2,2,2,2,1,2,3,2,3,2,0,2,2
"=""2213532""",3,2,3,3,2,2,4,5,1,3,5,3,1,1,2,5,3,4,4,2,3,2,2,6,2,0,3,5
"=""2473879""",2,3,4,4,1,5,4,17,2,2,4,2,0,2,2,6,0,2,4,1,2,4,3,13,2,0,2,5
"=""2473887""",2,0,4,1,2,0,1,0,0,0,3,6,0,0,2,2,0,0,1,0,1,3,3,0,0,0,0,6
"=""728705""",4,2,3,2,0,1,4,2,2,1,3,2,4,2,4,2,2,2,2,1,0,3,2,1,0,0,4,7
"=""2397358""",1,2,1,0,3,3,2,1,3,2,2,3,2,2,1,2,1,2,2,2,0,4,3,0,2,0,1,2
"=""2213559""",1,3,4,1,3,3,1,0,2,1,1,1,2,1,6,2,0,2,2,2,2,2,4,2,0,0,4,6
"=""2473801""",1,0,2,3,2,2,2,2,3,1,4,1,2,2,3,2,2,2,4,2,2,3,3,1,3,0,2,2
"=""2518104""",0,0,0,0,3,3,0,1,1,0,2,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,2
"=""2213508""",2,4,3,2,2,3,2,5,2,1,3,2,3,3,5,0,1,2,5,2,4,2,2,6,4,2,2,2
"=""2536889""",1,3,1,4,8,2,5,1,3,2,3,1,3,5,2,2,5,2,3,2,1,1,0,0,2,0,3,3
"=""2213664""",2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,6,3,0,0,0,2,0,0,1,0,2
"=""2042312""",0,0,2,1,0,0,1,0,1,5,0,2,0,1,1,1,0,0,4,2,0,3,0,0,0,0,0,5
"=""2227134""",0,2,2,5,1,1,0,0,0,4,3,0,0,0,6,5,0,5,1,0,5,4,2,0,0,0,1,6
"=""2338351""",4,2,5,2,0,2,1,3,1,1,5,2,2,1,3,6,1,4,3,2,8,3,1,1,3,0,6,6
"=""2213540""",3,0,3,2,2,3,3,1,1,1,6,2,2,2,3,1,2,3,3,2,2,3,3,1,1,0,2,5
"=""2518031""",2,2,2,1,1,2,4,8,0,1,2,5,2,2,3,2,1,4,1,2,3,1,3,1,2,0,2,3
"=""2181355""",3,2,2,2,2,2,2,1,1,2,3,3,1,3,3,2,3,2,2,2,2,2,3,0,1,1,2,2
"=""2473763""",2,5,3,3,2,2,6,1,7,2,6,2,1,2,1,3,3,4,5,2,2,1,3,1,3,0,2,5
"=""2536897""",2,2,-2,5,3,3,2,12,3,15,7,4,0,6,6,2,2,1,6,3,6,2,3,2,4,2,1,5
"=""2572044""",7,4,5,5,2,2,7,7,3,4,4,2,0,2,5,4,3,2,6,4,5,4,3,0,0,0,3,5
"=""2473771""",2,3,6,2,1,2,1,2,3,3,4,3,3,3,2,6,2,3,5,2,3,2,3,6,2,0,6,5
"=""2042290""",1,1,3,1,1,-2,2,0,1,3,3,0,1,0,0,5,0,6,4,0,0,5,1,0,0,0,1,4
"=""2536870""",3,2,2,2,2,1,6,4,3,2,2,3,2,2,3,1,4,2,6,1,2,3,3,6,4,0,6,2
"=""2558637""",3,5,2,2,5,2,2,1,3,0,2,2,3,1,5,1,1,2,0,4,1,2,3,1,1,1,0,2
"=""2473852""",0,0,0,2,0,0,2,1,1,2,0,0,0,0,1,3,0,1,2,0,2,2,3,0,0,0,0,3
"=""2213516""",4,0,2,1,1,2,2,2,3,2,2,2,5,2,1,2,2,2,1,4,2,2,2,19,4,0,2,3
"=""2380188""",2,2,3,1,3,0,2,5,7,4,7,3,3,2,2,1,2,2,4,1,2,1,3,2,3,2,6,6
"=""2452359""",2,3,2,4,2,2,2,2,1,3,2,2,2,3,5,1,2,2,2,2,4,3,3,6,4,1,1,3
"=""2390825""",1,2,2,2,2,0,2,1,11,2,2,4,5,2,3,2,2,2,1,2,2,6,4,2,2,2,2,5
"=""2390817""",2,0,0,0,0,1,2,6,1,2,3,0,0,0,2,2,0,4,2,-2,1,5,0,2,1,0,1,5
"=""2380226""",0,0,5,2,2,1,2,1,2,0,4,1,0,0,1,2,0,4,2,2,0,4,2,2,0,0,0,3
"=""2452367""",1,1,1,3,2,3,4,1,1,4,6,2,2,2,2,1,1,4,1,0,3,6,3,7,3,0,1,4
"=""2181339""",2,2,3,1,2,2,1,1,2,2,3,4,4,2,7,2,0,2,2,2,3,2,2,0,3,1,2,3
"=""2536862""",4,2,3,4,5,3,2,2,4,2,3,3,1,2,1,2,2,6,4,1,4,4,2,3,3,2,1,6
"=""2572079""",0,0,5,2,4,0,5,3,2,0,6,4,0,5,5,5,0,0,6,3,0,5,0,0,0,0,9,6
"=""728683""",3,4,2,2,3,3,0,2,2,4,4,2,5,2,3,5,2,4,5,1,2,5,3,3,0,0,1,4
"=""2181363""",3,3,2,2,3,2,2,3,4,2,1,2,5,3,2,2,1,2,1,0,4,6,2,0,2,2,2,2
"=""2227150""",0,1,5,5,7,0,3,0,3,2,5,5,0,0,3,6,-1,3,3,2,6,5,3,0,0,-3,7,3
"=""2536854""",3,2,2,3,2,1,2,3,2,2,2,5,2,4,1,2,1,2,2,1,2,3,2,2,1,2,1,3
"=""2518082""",0,0,2,1,2,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""2444542""",0,6,1,2,5,1,5,2,0,2,7,4,0,3,0,6,0,5,2,1,3,2,2,0,0,-2,5,3
"=""2405091""",1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2
"=""281492""",3,4,4,0,2,0,6,4,2,3,6,3,6,0,2,2,2,0,4,0,-1,0,3,1,0,-1,0,0
"=""2569434""",18,21,19,18,26,11,22,22,17,16,19,17,19,24,19,17,14,15,20,34,12,17,16,14,15,16,21,19
"=""68024""",3,3,3,3,2,3,1,1,4,2,1,3,2,1,4,3,3,2,3,2,4,5,3,3,2,0,4,1
"=""30275""",4,3,3,1,2,1,2,2,3,3,2,2,2,1,2,2,2,3,3,1,6,2,2,3,3,0,8,2
"=""35423""",2,2,4,1,2,3,1,1,2,2,3,6,3,8,2,1,3,1,2,2,2,2,4,0,7,0,5,1
"=""59214""",2,2,1,2,2,2,1,2,7,2,3,3,4,2,2,1,3,0,6,3,3,2,2,2,3,2,2,0
"=""68038""",3,1,0,2,3,3,0,0,1,2,2,0,4,2,0,0,0,2,2,0,4,1,5,4,0,0,2,5
"=""36773""",6,3,1,2,1,3,1,2,2,2,3,4,2,1,3,7,2,2,7,2,4,3,2,4,3,0,3,1
"=""26155""",5,4,5,4,3,3,2,4,2,1,2,3,4,-1,3,5,8,2,10,0,4,3,2,1,3,2,3,1
"=""69522""",5,3,0,4,3,3,2,8,0,6,5,3,5,4,5,0,4,3,11,4,3,3,4,5,1,0,1,4
"=""68029""",1,1,1,2,2,1,3,1,1,3,3,2,1,2,4,4,3,3,2,1,6,3,5,9,1,0,2,5
"=""69457""",5,2,2,2,3,1,3,6,3,1,1,1,1,6,1,4,1,1,4,1,2,3,4,4,2,0,6,7
"=""67920""",7,4,5,2,2,1,2,4,2,2,2,2,8,0,2,3,0,4,3,4,2,1,2,2,2,0,4,1
"=""49016""",2,4,1,3,2,1,1,0,7,2,1,1,3,1,5,2,0,2,1,5,1,3,2,4,0,0,2,2
"=""10803""",3,2,4,2,3,2,2,2,3,2,2,3,4,6,1,4,1,4,2,2,2,1,0,3,6,0,2,1
"=""67930""",5,2,5,2,1,2,1,2,2,4,2,5,5,8,3,1,3,2,12,0,3,3,1,3,2,0,7,8
"=""67889""",3,2,2,1,2,1,3,1,4,4,4,2,3,1,2,0,5,3,2,1,7,3,4,6,0,0,6,2
"=""69514""",0,1,0,0,3,1,1,4,0,0,4,2,0,0,0,0,2,1,0,0,1,6,0,0,0,0,6,0
"=""25551""",4,2,2,1,1,4,2,2,2,2,4,3,2,1,4,2,3,1,4,2,3,4,1,3,2,0,8,1
"=""67803""",0,1,2,0,4,0,0,3,0,0,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
"=""34001""",4,3,4,4,6,4,3,4,2,3,6,6,1,3,3,2,2,4,2,2,2,2,3,3,3,0,7,1
"=""67995""",0,1,3,1,2,1,1,2,5,2,5,6,2,3,2,1,1,3,1,4,3,3,4,2,2,0,3,3
"=""69487""",1,2,4,1,4,2,0,1,2,3,3,3,2,2,5,2,2,2,3,-1,5,2,1,2,3,1,1,4
"=""68037""",2,4,1,1,2,0,5,3,1,8,4,3,4,2,2,2,1,3,1,3,0,2,4,4,2,0,5,5
"=""67832""",5,1,3,4,2,2,2,5,2,0,2,5,2,2,1,6,1,1,2,4,3,3,3,2,2,0,1,4
"=""68019""",2,2,2,1,2,2,2,3,2,3,3,2,2,2,4,3,1,1,1,3,2,2,2,2,3,4,1,2
"=""67884""",3,2,1,2,2,1,4,1,12,5,2,2,2,1,6,2,4,0,1,7,1,2,4,1,5,1,2,1
"=""36440""",2,3,4,4,2,6,2,1,1,3,2,2,4,1,4,2,2,2,0,2,4,5,3,2,2,0,2,1
"=""49936""",1,2,0,2,3,0,1,2,2,0,3,1,1,4,2,3,1,2,6,4,2,1,2,2,2,0,3,1
"=""68033""",4,1,4,1,2,2,1,1,2,2,2,4,6,1,3,2,0,2,3,2,3,2,2,4,1,0,5,4
"=""67996""",4,1,2,4,3,1,1,4,2,2,3,6,6,2,3,2,1,5,3,4,6,3,1,5,1,0,5,2
"=""67887""",2,3,3,3,4,1,3,3,1,2,4,3,4,2,1,6,2,1,2,3,3,2,6,1,0,0,3,2
"=""70994""",2,3,3,2,3,0,3,2,3,8,2,6,2,3,2,4,2,2,2,3,3,1,2,1,3,1,5,8
"=""67921""",1,3,2,2,1,3,3,1,2,2,3,1,2,0,5,2,1,2,4,3,1,6,1,1,6,-1,4,1
"=""67949""",3,3,4,2,2,1,2,4,1,1,2,4,0,2,1,1,2,3,2,4,2,5,1,7,4,0,2,3
"=""27859""",2,1,4,3,1,2,3,2,2,1,1,4,3,2,3,2,3,4,6,3,2,4,4,6,2,0,1,1
"=""68032""",4,2,1,5,1,0,2,2,3,3,3,2,2,2,2,2,1,2,4,8,1,1,4,2,8,0,1,7
"=""67927""",1,3,1,2,1,3,8,3,3,2,1,3,5,1,3,5,2,2,7,1,7,3,2,3,1,0,4,2
"=""69482""",2,4,2,2,2,1,1,2,4,1,2,1,2,0,3,2,3,1,2,1,4,1,4,2,2,0,2,1
"=""67956""",3,1,5,3,1,2,2,1,3,4,5,2,4,3,1,2,3,2,6,1,4,3,4,4,6,0,6,2
"=""68039""",1,3,6,3,7,5,3,2,7,4,3,1,3,3,2,4,1,2,2,7,4,4,3,4,2,0,5,5
"=""68030""",3,4,2,2,2,2,4,1,2,4,3,1,4,2,2,2,2,3,1,2,3,3,2,2,1,0,7,6
"=""59041""",3,5,3,4,2,4,0,4,3,2,2,4,1,1,2,2,3,2,3,2,0,5,2,11,3,0,2,5
"=""54487""",2,2,4,2,1,2,2,3,4,3,2,3,2,1,4,2,2,2,3,1,3,5,3,9,2,0,4,0
"=""32263""",2,2,6,1,1,4,1,8,2,2,3,3,0,2,3,3,2,2,3,2,4,3,4,1,2,3,10,2
"=""67882""",1,1,6,4,3,4,3,2,4,2,3,2,4,2,2,4,2,0,3,3,1,1,2,5,0,0,1,2
"=""27434""",7,2,4,0,3,2,4,2,2,3,1,3,3,0,3,1,4,2,2,1,3,0,3,1,2,6,2,1
"=""67830""",8,2,4,3,3,5,2,5,7,2,2,1,3,2,2,4,4,2,6,2,2,1,6,2,5,0,3,2
"=""51714""",4,4,1,6,3,4,4,2,3,2,6,1,2,2,2,4,3,5,0,2,6,1,5,3,2,0,8,4
"=""2579669""",2,5,4,0,5,2,4,2,4,4,2,3,1,3,2,2,1,2,3,0,1,6,3,2,2,5,3,0
"=""2539004""",2,2,1,3,3,1,0,7,3,5,10,3,6,2,7,3,1,4,1,0,6,2,5,6,4,0,-1,5
"=""2538997""",0,1,1,0,0,5,2,1,0,1,5,3,0,1,2,3,2,1,1,0,9,6,4,0,2,10,2,3
"=""2572303""",4,4,4,3,2,9,2,4,5,7,17,9,11,2,2,2,2,14,15,4,6,3,2,4,6,6,6,17
"=""42807""",1,5,3,1,4,0,0,2,1,1,2,2,1,1,3,3,2,2,2,1,1,1,3,6,1,0,1,3
"=""10037""",0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,3,0,0,0,2,3,0,0,0,2,0
"=""52464""",3,4,1,1,2,2,2,0,0,0,8,5,1,0,0,2,1,2,2,0,0,0,4,0,0,0,2,0
"=""10043""",1,1,2,0,1,2,0,1,0,1,1,6,2,2,0,1,2,1,0,0,1,3,0,2,0,0,1,0
"=""10020""",0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0
"=""10045""",1,1,3,2,1,2,3,3,3,2,3,2,3,0,2,2,6,1,3,2,2,2,2,2,2,-1,6,2
"=""66842""",39,45,11,19,9,9,15,6,15,6,29,265,16,152,9,14,0,10,13,6,4,12,16,23,2,23,10,7
"=""31479""",3,0,10,5,0,3,1,1,2,8,15,0,0,8,0,9,7,0,2,4,1,4,4,10,3,0,10,3
"=""10044""",3,3,1,1,1,2,3,1,2,0,4,2,2,3,2,3,2,1,3,1,3,3,3,2,1,0,6,2
"=""47507""",2,1,4,2,2,4,1,2,2,2,1,2,3,1,1,1,7,3,1,1,3,2,3,3,2,5,0,2
"=""66925""",1,2,3,3,5,2,2,0,1,3,2,1,2,2,1,2,3,4,3,0,3,3,5,2,2,6,3,1
"=""10265""",5,1,2,2,5,3,4,3,2,2,5,3,1,2,0,2,3,1,2,1,0,1,4,5,0,4,2,2
"=""22147""",4,2,2,2,4,1,3,1,0,1,2,1,2,1,2,7,1,3,7,4,1,4,3,3,0,3,4,2
"=""35512""",6,7,3,2,3,3,6,3,2,3,4,1,6,0,3,3,3,2,0,0,2,1,4,3,7,0,2,3
"=""66915""",1,3,1,2,3,1,8,4,4,2,0,3,3,7,4,4,3,3,3,2,3,3,3,5,1,4,2,3
